ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 2,ALX,0.9628906,0.9536133,0.9604492,0.9667969,0.9624023,0.9746094,0.9628906,0.9589844,0.9658203,0.9804688,0.9165039,0.9160156,0.9658203,1.005371,1.006348,0.9633789,0.9316406,0.9614258,0.9506836,0.9462891,0.9614258,0.9521484,0.9487305,0.9541016,0.9848633,0.9633789,0.9545898,0.9506836,0.9501953,0.9174805,0.9794922,0.9902344,1.01123,0.9775391,0.9370117,0.9501953,0.9848633,0.9716797,0.9575195,0.9555664,0.9648438,0.9941406,0.9702148,0.956543,0.9628906,0
Action 2,ALY,-0.2397461,-0.2333984,-0.2363281,-0.2231445,-0.2285156,-0.2270508,-0.234375,-0.2358398,-0.2368164,-0.2416992,-0.2177734,-0.2573242,-0.2329102,-0.2539063,-0.2299805,-0.2270508,-0.2314453,-0.2446289,-0.2602539,-0.2607422,-0.2792969,-0.2875977,-0.2651367,-0.2612305,-0.234375,-0.2436523,-0.2651367,-0.262207,-0.2666016,-0.2485352,-0.2397461,-0.2006836,-0.1884766,-0.21875,-0.2036133,-0.2148438,-0.1987305,-0.1933594,-0.199707,-0.2211914,-0.222168,-0.2172852,-0.2353516,-0.2280273,-0.2265625,0
Action 2,ALZ,0.1035156,0.1049805,0.1079102,0.09814453,0.105957,0.09960938,0.09619141,0.1010742,0.09814453,0.08837891,0.08203125,0.1376953,0.1240234,0.121582,0.08984375,0.06054688,0.09716797,0.08544922,0.1025391,0.08886719,0.08398438,0.1098633,0.08398438,0.08642578,0.04785156,0.07470703,0.1054688,0.1225586,0.1289063,0.08398438,0.09521484,0.06152344,0.09130859,0.1020508,0.05175781,0.09179688,0.07714844,0.06738281,0.07958984,0.1123047,0.105957,0.09033203,0.08789063,0.09667969,0.1020508,0
Action 2,ARX,0.9194336,0.9262695,0.9223633,0.9291992,0.9228516,0.9228516,0.9418945,0.9331055,0.909668,0.9794922,1.123047,0.8920898,0.3891602,-0.04931641,-0.08496094,0.1152344,0.09765625,0.137207,-0.2792969,-0.394043,-0.4418945,-0.4780273,-0.3549805,-0.375,0.08056641,-0.02929688,-0.08056641,-0.0546875,-0.009277344,0.01025391,0.2226563,0.8813477,0.8354492,1.121582,1.137695,0.9526367,0.8891602,0.9228516,0.9458008,0.9155273,0.9130859,0.9379883,0.9838867,0.9667969,0.9326172,0
Action 2,ARY,0.2963867,0.2954102,0.2851563,0.2788086,0.2949219,0.2739258,0.3051758,0.2724609,0.3081055,0.4384766,0.612793,0.8007813,0.7373047,0.6132813,0.5463867,0.6259766,0.7617188,0.690918,0.847168,0.8505859,0.8349609,0.9985352,0.9614258,0.8076172,0.8325195,0.7255859,0.7109375,0.8476563,0.8779297,0.7749023,0.90625,0.5898438,0.5302734,0.3969727,0.3193359,0.3051758,0.3173828,0.2387695,0.1738281,0.2275391,0.2514648,0.253418,0.2753906,0.2177734,0.2636719,0
Action 2,ARZ,0.1186523,0.1186523,0.1293945,0.1254883,0.1201172,0.1157227,0.1171875,0.121582,0.1220703,-0.03417969,0.4433594,0.6191406,0.7895508,0.7875977,0.7900391,0.4619141,0.3413086,0.2709961,0.2583008,0.387207,0.2587891,0.07177734,0.2021484,0.2612305,0.2587891,0.3686523,0.5869141,0.828125,0.6938477,0.6791992,0.6166992,0.378418,0.2705078,0.03125,-0.01123047,0.1240234,0.09130859,0.08691406,0.09716797,0.1538086,0.15625,0.1381836,0.09375,0.08056641,0.1318359,0
Action 2,EMG0L,2,-1,-1,-3,-1,3,2,1,-2,-18,5,1,-5,1,-4,-3,1,-2,1,-2,3,0,-1,4,-8,3,1,-1,-1,-3,-1,-1,-4,2,0,-2,0,4,-3,-2,-1,-2,2,-1,1,0
Action 2,EMG1L,0,-1,-1,-3,0,-1,0,0,-1,-2,0,0,-3,-5,-2,3,1,0,-7,-3,-2,-4,-2,0,-3,-3,0,-3,2,3,0,0,-3,0,0,0,0,-1,-3,-2,-1,-1,1,-1,0,0
Action 2,EMG2L,-2,-3,0,-4,-3,-1,-3,-3,1,-1,4,-1,-2,1,0,-2,-1,2,2,3,0,0,-1,-1,-1,0,-5,-1,-1,1,-2,1,-1,-1,-3,0,-5,-1,-2,-1,-1,-2,-1,-1,1,0
Action 2,EMG3L,-2,0,0,-1,-1,1,-4,-2,-2,0,-2,1,-2,-1,-3,-2,-1,2,-1,-1,-4,1,0,-1,-5,-2,-2,1,-1,-1,-2,-1,0,-1,-3,-1,0,-1,-1,-3,-2,-1,-2,1,-1,0
Action 2,EMG4L,1,-2,1,-2,-1,-1,-3,-3,1,-1,-1,-1,0,0,-2,0,-2,-1,1,0,0,1,-2,-3,-1,-2,-2,-3,-1,0,-2,-3,1,-2,-2,1,0,-2,-2,-3,1,2,1,-1,-1,0
Action 2,EMG5L,-2,-1,-4,2,-5,-3,-3,0,-5,2,-5,-5,-3,-6,0,3,3,-5,3,7,-4,-2,-4,-4,-2,4,-2,-8,-5,-2,-7,4,-6,6,-3,3,1,-3,2,3,-5,0,-4,1,-1,0
Action 2,EMG6L,2,-1,0,1,3,-4,4,2,0,2,-1,-5,5,-5,-1,0,-4,-4,0,2,-2,0,-4,1,-3,0,-1,5,3,-4,-1,1,1,-1,-1,-4,-4,0,-3,-2,-1,2,4,-1,2,0
Action 2,EMG7L,5,0,0,-1,5,2,0,0,-2,1,-2,1,-10,6,-8,7,5,25,-4,-8,-2,-5,-12,2,-33,-4,-4,1,-2,1,-2,5,-8,15,-6,2,-4,5,-2,-3,-2,-4,8,1,6,0
Action 2,EMG0R,1,-3,0,0,-2,-5,-2,-1,-4,8,9,0,-13,20,11,5,-1,-11,-2,-7,-5,2,-9,6,-4,6,3,2,-6,-3,0,3,3,10,-2,1,-1,-2,-4,1,3,2,0,0,0,0
Action 2,EMG1R,-1,-1,0,0,3,-2,-1,-1,-9,23,5,-24,-14,4,8,18,-20,-5,-6,7,9,-2,-3,4,-8,0,6,0,-2,4,-1,2,-6,1,-1,0,-1,0,-1,0,-3,-3,1,2,-1,0
Action 2,EMG2R,-5,-2,-2,-3,-3,0,2,-1,-13,21,-56,37,-3,17,10,3,5,-12,-7,5,5,-7,-2,4,2,1,0,-1,-5,3,-4,2,-18,3,-2,-1,0,0,-2,-3,1,4,-2,0,-3,0
Action 2,EMG3R,0,-4,0,-3,-4,0,-1,0,-5,11,-20,36,-1,10,-5,6,2,-7,-2,5,-9,-22,-1,1,0,-2,9,0,-10,5,-3,3,-8,2,-4,-1,-5,-1,-2,0,0,0,3,2,0,0
Action 2,EMG4R,-1,3,-5,2,0,5,-2,0,-2,7,-5,-29,-14,16,5,59,-2,-6,14,8,-19,-45,-2,-2,-1,2,3,-3,-9,-2,1,3,0,-11,3,0,1,-5,1,3,-1,2,-1,2,0,0
Action 2,EMG5R,-3,-1,2,1,-9,-7,6,-4,-1,3,-4,22,-20,-2,19,-2,-5,-11,9,7,-26,-3,13,1,-3,-3,-1,5,8,1,-3,0,-13,9,-17,-5,-3,-13,4,14,-2,0,0,-2,2,0
