ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 3,ALX,0.9599609,0.956543,0.9575195,0.9580078,0.9619141,0.9541016,0.9511719,1.001953,1.034668,0.9257813,0.9116211,0.8608398,0.9677734,0.9672852,1.051758,0.8168945,0.1796875,-0.1259766,-0.2226563,-0.5507813,1.449707,0.6582031,0.4316406,0.5644531,0.6152344,0.4858398,0.5341797,0.6235352,0.6635742,0.7983398,1.041504,1.074219,1.057129,1.001465,0.9599609,0.9331055,0.9355469,0.9453125,0.9365234,0.9472656,0.9633789,0.956543,0.9545898,0.9638672,0.9570313,0
Action 3,ALY,-0.2416992,-0.2470703,-0.2426758,-0.2407227,-0.2456055,-0.2421875,-0.2338867,-0.2421875,-0.2504883,-0.3227539,-0.3242188,-0.3666992,-0.375,-0.4189453,-0.6616211,-0.7885742,-0.8286133,-0.4804688,-0.1357422,-0.4545898,-1.249512,-0.8085938,-0.7973633,-0.7060547,-0.7143555,-0.6054688,-0.6816406,-0.5791016,-0.543457,-0.4907227,-0.2792969,-0.2543945,-0.2207031,-0.2324219,-0.2612305,-0.2592773,-0.2324219,-0.2607422,-0.2397461,-0.2558594,-0.2524414,-0.2553711,-0.2641602,-0.2597656,-0.2705078,0
Action 3,ALZ,0.1206055,0.1235352,0.1191406,0.1166992,0.1201172,0.1171875,0.1210938,0.09716797,0.1362305,0.1938477,0.2265625,0.2553711,0.293457,0.2236328,0.4882813,0.5996094,0.4619141,0.1914063,0.08251953,0.2670898,0.8549805,0.4150391,0.3144531,0.4350586,0.4482422,0.4111328,0.3999023,0.4257813,0.3989258,0.3164063,0.2807617,0.07910156,-0.001464844,0.1181641,0.1455078,0.1083984,0.09326172,0.09277344,0.09130859,0.1000977,0.1040039,0.1108398,0.112793,0.1074219,0.1098633,0
Action 3,ARX,0.9033203,0.9125977,0.909668,0.9057617,0.9067383,0.9057617,0.9116211,0.9814453,1.096191,1.230957,0.7910156,0.2695313,-0.1665039,-0.05664063,0.09082031,-0.2919922,-0.6025391,-0.46875,-0.3354492,-0.7431641,0.1616211,0.9824219,0.4711914,0.3085938,0.4267578,0.4433594,0.4790039,0.3417969,0.5600586,0.7358398,0.9477539,0.8876953,0.9345703,0.9711914,0.9594727,0.9282227,0.9106445,0.8842773,0.8974609,0.9101563,0.9077148,0.9077148,0.8950195,0.8935547,0.8974609,0
Action 3,ARY,0.3447266,0.3408203,0.3447266,0.3442383,0.3432617,0.3442383,0.3457031,0.3544922,0.5078125,0.7216797,1.284668,1.04248,0.8115234,0.5874023,0.46875,0.6879883,0.6953125,0.5161133,0.3652344,0.1621094,0.9228516,1.206055,0.9448242,0.7250977,0.7592773,0.7768555,0.7368164,0.7373047,0.5908203,0.5478516,0.4038086,0.5512695,0.496582,0.4575195,0.3486328,0.3632813,0.3344727,0.3251953,0.3422852,0.3378906,0.3486328,0.3486328,0.3486328,0.362793,0.3642578,0
Action 3,ARZ,0.1376953,0.128418,0.1318359,0.1293945,0.1298828,0.1259766,0.137207,0.1147461,0.01953125,0.3701172,0.5249023,0.4418945,0.3803711,0.1777344,0.2011719,0.1591797,0.1738281,0.2724609,0.1411133,-0.2988281,0.3300781,0.4760742,0.1977539,0.3212891,0.4628906,0.4033203,0.3945313,0.2988281,0.3505859,0.390625,0.3583984,0.2431641,0.1884766,0.1791992,0.1181641,0.1455078,0.1474609,0.1552734,0.1367188,0.1489258,0.1367188,0.1367188,0.1352539,0.1459961,0.1420898,0
Action 3,EMG0L,-2,1,0,0,-3,0,-1,-3,-5,0,-1,2,1,-3,12,-8,5,0,11,-14,-32,2,8,39,0,4,4,-3,-2,0,-2,-4,-6,5,-17,7,-3,-2,-3,-4,-2,-3,0,0,-2,0
Action 3,EMG1L,0,1,-1,-1,-1,-1,0,-1,-2,0,-3,-1,0,-1,6,-8,-4,36,-3,-14,-30,3,9,40,-3,0,-3,0,-3,-2,-4,0,0,-1,-6,0,-1,-2,0,-1,-2,2,0,-2,0,0
Action 3,EMG2L,-1,-1,-1,0,0,-2,-1,1,-2,-2,-2,0,1,5,4,0,-18,9,-11,4,2,0,-3,7,0,-1,-5,-3,-3,1,0,0,-1,-1,-1,1,-2,0,1,-1,-2,0,2,0,-1,0
Action 3,EMG3L,0,-1,-2,2,-2,-1,-1,-1,-1,0,-1,-4,-5,5,-3,-14,-2,-3,-5,10,8,5,-10,-1,1,1,-3,-2,-1,-3,-2,-2,-2,0,1,0,-2,-1,-1,0,0,-3,0,0,-3,0
