ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47,time48,time49,time50,time51,time52,time53,time54,time55,time56,time57,time58,time59,time60,time61,time62,time63,time64,time65,time66,time67,time68,time69,time70,time71,time72,time73,time74,time75,time76,time77,time78,time79,time80,time81,time82,time83,time84
Action 1,ALX,0.9121094,0.9140625,0.902832,0.9194336,0.9443359,0.9711914,0.8271484,0.6865234,0.4418945,0.1757813,0.1445313,0.06640625,0.001953125,-0.03173828,-0.08154297,-0.09326172,-0.387207,0.01025391,-0.4257813,-0.2910156,-0.2441406,-0.2568359,-0.2333984,-0.2587891,-0.1625977,-0.7470703,0.4716797,-0.6298828,-0.1938477,-0.04736328,0.4326172,0.5463867,0.8325195,0.9833984,0.9829102,0.9375,0.9165039,0.8837891,0.8842773,0.9121094,0.9287109,0.9257813,0.9204102,0.918457,0.9194336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ALY,0.3242188,0.3291016,0.3686523,0.5146484,0.6552734,0.6352539,0.7680664,0.8339844,0.875,0.7905273,0.7460938,0.769043,0.8623047,0.8876953,0.9135742,0.7514648,0.7519531,1.373047,0.7167969,1.050781,0.9379883,0.9321289,0.9516602,0.953125,0.8710938,0.9750977,1.020508,0.9467773,0.6318359,0.5322266,0.8955078,0.7954102,0.8569336,0.6611328,0.5429688,0.4892578,0.4233398,0.4023438,0.4448242,0.3432617,0.2988281,0.2924805,0.2919922,0.324707,0.3095703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ALZ,0.1352539,0.1464844,0.1542969,0.1679688,0.2084961,0.2626953,0.3569336,0.4189453,0.3710938,0.3012695,0.2880859,0.2089844,0.190918,0.2006836,0.2275391,0.2045898,0.1630859,0.04833984,0.152832,0.2456055,0.2661133,0.262207,0.246582,0.2495117,0.5527344,-0.1733398,0.5556641,0.08349609,0.1318359,0.1542969,0.4135742,0.3461914,0.1811523,0.09765625,0.112793,0.1518555,0.1757813,0.2006836,0.2055664,0.1020508,0.08447266,0.09033203,0.1074219,0.1220703,0.1113281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ARX,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ARY,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ARZ,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,EMG0L,-2,1,-2,1,2,-2,-1,1,1,-2,0,0,-1,7,-34,-108,-70,38,-13,64,2,-16,-10,39,-48,-34,-4,7,-4,-1,0,2,0,9,1,1,-1,0,2,-2,0,0,-1,0,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,EMG1L,-2,0,-2,-4,-4,2,-2,-1,0,0,0,-1,-2,6,-31,-66,31,-18,18,14,-4,-4,-8,-1,-18,-3,-6,1,-5,-2,-3,-2,1,3,2,1,-3,-2,0,-1,-1,-1,-2,-1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,EMG2L,-1,1,-7,-8,-28,-3,2,-2,-1,-2,-2,-3,0,1,2,-4,5,-10,-1,-15,-2,3,0,-7,-4,11,1,0,-4,-3,-3,0,4,4,2,1,-2,-2,-1,0,-1,-2,0,-2,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,EMG3L,-2,-1,-3,-3,-6,-2,3,5,-2,-10,-8,-2,1,0,-3,-2,4,-6,0,-6,-11,3,9,-7,-8,3,0,-17,10,0,-4,-3,3,8,-1,-1,-1,1,0,1,0,-3,0,2,-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
