ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47,time48,time49,time50,time51,time52,time53,time54,time55,time56,time57,time58,time59,time60,time61,time62,time63,time64,time65,time66,time67,time68,time69,time70,time71,time72,time73,time74,time75,time76,time77,time78,time79,time80,time81,time82,time83,time84,time85
Action 1,ALX,0.9204102,0.9189453,0.9399414,0.9467773,0.9086914,0.8964844,0.9189453,0.9384766,0.9462891,0.9648438,0.9233398,0.8491211,0.777832,0.777832,0.515625,0.4169922,0.2807617,0.07373047,0.03710938,-0.2548828,-0.543457,-0.6079102,-0.7158203,-0.7070313,-0.7949219,-0.8945313,-0.9404297,-1.091309,-1.257813,-1.001465,0.7890625,0.7275391,0.1191406,-0.009277344,0.03027344,0.006347656,0.01757813,0.02539063,0.07519531,0.2651367,0.2475586,0.4838867,0.6074219,0.8833008,0.9038086,1.194336,0.9794922,0.9155273,0.875,0.9033203,0.9526367,0.9155273,0.9091797,0.9223633,0.9316406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ALY,0.3022461,0.2958984,0.3173828,0.3769531,0.4482422,0.4799805,0.5322266,0.6796875,0.7670898,0.7543945,0.7402344,0.7626953,0.8203125,0.8203125,0.8339844,0.7792969,0.6982422,0.6396484,0.5336914,0.4101563,0.3837891,0.2919922,0.2456055,0.2211914,0.1933594,0.1533203,0.1132813,0.07177734,0.1186523,0.2719727,0.2822266,0.2504883,0.4052734,0.4482422,0.4560547,0.4365234,0.425293,0.4238281,0.4013672,0.4174805,0.3115234,0.4047852,0.4907227,0.7714844,0.6103516,0.8037109,0.6762695,0.4892578,0.4819336,0.3203125,0.2709961,0.2792969,0.2890625,0.2880859,0.2729492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ALZ,0.1323242,0.1254883,0.1455078,0.1586914,0.1616211,0.2075195,0.2553711,0.2612305,0.262207,0.3876953,0.4853516,0.6264648,0.65625,0.65625,0.7226563,0.7314453,0.7348633,0.6762695,0.6977539,0.6000977,0.4926758,0.4619141,0.4482422,0.5112305,0.5229492,0.4716797,0.4047852,0.3071289,0.4023438,0.7797852,0.8974609,0.7587891,0.9633789,0.9550781,0.9492188,0.9609375,0.9404297,0.8549805,0.7880859,0.4931641,0.4882813,0.512207,0.5996094,0.6098633,0.3808594,0.06494141,0.3017578,0.2744141,0.2729492,0.1367188,0.1186523,0.1352539,0.128418,0.08398438,0.1118164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ARX,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ARY,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,ARZ,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,EMG0L,-3,4,9,3,17,4,-3,-9,-4,6,-7,4,5,5,8,5,-1,35,6,6,-8,-23,-10,5,-11,-10,4,5,0,0,0,-15,-22,9,-6,17,-4,6,0,6,-4,-3,-3,5,1,-5,0,0,-3,-2,-1,0,0,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,EMG1L,-1,2,-2,-1,-4,-4,-4,1,5,-10,-13,-6,-2,-2,8,-1,0,10,-8,4,-10,-28,2,-5,3,0,3,3,-3,14,8,-8,-23,14,-5,8,-10,3,-4,11,-2,-1,-1,6,-2,-2,0,0,0,-3,0,1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,EMG2L,-3,0,4,-3,-1,1,2,1,5,-34,-14,-20,-6,-6,5,-9,-5,-5,-17,-7,-7,-12,7,0,6,-6,-2,2,-3,1,14,-9,3,6,0,-8,2,-1,-2,2,-2,-2,-2,0,-1,-1,-2,2,-2,0,-2,-2,0,1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Action 1,EMG3L,-2,0,0,-3,-1,0,-2,2,5,-11,1,-4,-9,-9,0,-7,-18,-13,4,-29,5,-2,-5,4,3,-10,-2,12,7,21,28,-4,11,13,-4,7,7,-2,-36,0,5,-5,-1,2,-1,0,-1,-2,1,0,-4,1,-3,-2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
