ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 1,ALX,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0
Action 1,ALY,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,0
Action 1,ALZ,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0
Action 1,ARX,0.8779297,0.8701172,0.8793945,0.8740234,0.8618164,0.8686523,1.405762,1.313477,0.09033203,-0.5488281,-0.3828125,-0.2280273,-0.008300781,0.02880859,-0.4291992,-0.9560547,-0.6660156,-0.6000977,-0.1655273,-0.7963867,-0.8188477,-0.3510742,-0.1357422,-0.2788086,-0.144043,0.06396484,0.8066406,1.166504,1.095215,1.00293,0.9428711,0.9370117,0.8178711,0.8789063,0.8969727,0.9375,0.9140625,0.8706055,0.8608398,0.890625,0.8842773,0.8632813,0.8828125,0.8833008,0.8696289,0
Action 1,ARY,0.4101563,0.4086914,0.4121094,0.40625,0.4077148,0.4179688,0.7143555,0.8686523,1.098633,0.8168945,0.9384766,0.5209961,0.4790039,0.4619141,0.7348633,1.239746,0.7143555,0.4111328,0.4946289,0.840332,0.8676758,0.5639648,0.6791992,0.847168,0.9672852,0.8105469,0.9277344,0.5766602,0.9199219,0.8017578,0.6845703,0.421875,0.3642578,0.3510742,0.3359375,0.3867188,0.3730469,0.3632813,0.3813477,0.3901367,0.3725586,0.3911133,0.4072266,0.3925781,0.4165039,0
Action 1,ARZ,0.1699219,0.1674805,0.1674805,0.1630859,0.1743164,0.1694336,0.1030273,0.5180664,0.4609375,0.3671875,0.3886719,0.3046875,0.1210938,-0.1938477,-0.2700195,-0.3686523,-0.534668,-0.4350586,-0.2792969,-0.2695313,-0.3120117,-0.2988281,0.07910156,0.2841797,0.3520508,0.3754883,0.2348633,0.3295898,0.1367188,0.1767578,0.1669922,0.2192383,0.199707,0.1816406,0.1640625,0.152832,0.1630859,0.1831055,0.1953125,0.1582031,0.1806641,0.2021484,0.1972656,0.1914063,0.1748047,0
Action 1,EMG0L,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Action 1,EMG1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 1,EMG2L,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
Action 1,EMG3L,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
Action 1,EMG4L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 1,EMG5L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Action 1,EMG6L,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
Action 1,EMG7L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 1,EMG0R,-2,-2,-1,-1,-3,4,4,1,3,9,3,-6,1,2,17,9,-5,-3,4,-7,-6,-7,-6,-2,-2,4,2,-8,1,2,0,-5,0,3,-5,0,2,1,0,-5,0,-4,-1,-1,-2,0
Action 1,EMG1R,-4,-2,-1,3,-4,13,-20,-128,74,0,10,-5,-3,1,6,12,2,-5,-12,-1,-8,-5,-7,-10,0,0,3,-10,-3,-1,2,-3,-1,-5,-2,2,-1,-2,0,-4,0,1,1,1,1,0
Action 1,EMG2R,-5,-1,2,-1,0,5,60,-87,127,59,-3,3,-1,3,-2,0,-2,-5,-7,-2,-9,-5,-2,-4,-1,6,8,0,-2,0,0,-3,3,-2,-1,-1,-2,3,1,-1,-2,-1,0,0,-3,0
Action 1,EMG3R,0,0,-1,-2,-3,1,2,-6,-12,1,-3,2,-4,0,5,10,-1,-1,-5,-1,-8,4,3,-1,-5,5,3,1,-2,0,-3,0,2,-2,0,2,-1,-2,0,0,-1,-1,0,-1,0,0
Action 1,EMG4R,-1,-1,-2,-3,-2,-9,15,17,-1,17,0,-6,-8,31,2,3,-7,-4,-3,1,-8,26,4,-2,1,0,4,0,1,-1,-2,1,-1,-2,-1,0,-2,-1,0,0,0,1,-2,-2,0,0
Action 1,EMG5R,-3,-3,-4,-3,-1,-6,1,8,7,3,-1,-19,-12,68,8,7,-85,6,17,7,-19,3,16,5,8,-1,-7,4,8,-10,16,12,-11,-5,-5,-3,-2,-2,2,-4,3,-6,0,-2,2,0
Action 1,EMG6R,1,-8,-3,3,-2,4,-18,2,3,-3,-1,-5,-2,14,-9,-22,-5,-4,32,-3,-8,-2,5,5,4,1,4,3,6,4,10,1,-4,7,-2,-1,-2,-1,-4,-3,5,5,0,-5,0,0
